kind,etag,id,snippet/channelId,snippet/title,snippet/assignable
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/ctpH2hGA_UZ3volJT_FTlOg9M00""",32,UCBR8-60-B28hp2BmDPdntcQ,Action/Adventure,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/WnuVfjO-PyFLO7NTRQIbrGE62nk""",31,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animation,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""",33,UCBR8-60-B28hp2BmDPdntcQ,Classics,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/G9LHzQmx44rX2S5yaga_Aqtwz8M""",23,UCBR8-60-B28hp2BmDPdntcQ,Comedy,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/pUZOAC_s9sfiwar639qr_wAB-aI""",34,UCBR8-60-B28hp2BmDPdntcQ,Comedy,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/Xb5JLhtyNRN3AQq021Ds-OV50Jk""",35,UCBR8-60-B28hp2BmDPdntcQ,Documentary,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/u8WXzF4HIhtEi805__sqjuA4lEk""",36,UCBR8-60-B28hp2BmDPdntcQ,Drama,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/EoYkczo9I3RCf96RveKTOgOPkUM""",27,UCBR8-60-B28hp2BmDPdntcQ,Education,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""",24,UCBR8-60-B28hp2BmDPdntcQ,Entertainment,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""",37,UCBR8-60-B28hp2BmDPdntcQ,Family,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/i5-_AceGXQCEEMWU0V8CcQm_vLQ""",38,UCBR8-60-B28hp2BmDPdntcQ,Foreign,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/WmA0qYEfjWsAoyJFSw2zinhn2wM""",20,UCBR8-60-B28hp2BmDPdntcQ,Gaming,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/rtlxd0zOixA9QHdIZB26-St5qgQ""",39,UCBR8-60-B28hp2BmDPdntcQ,Horror,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/r6Ck6Z0_L0rG37VJQR200SGNA_w""",26,UCBR8-60-B28hp2BmDPdntcQ,Howto & Style,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/lL7uWDr_071CHxifjYG1tJrp4Uo""",30,UCBR8-60-B28hp2BmDPdntcQ,Movies,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,UCBR8-60-B28hp2BmDPdntcQ,Music,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/QiLK0ZIrFoORdk_g2l_XR_ECjDc""",25,UCBR8-60-B28hp2BmDPdntcQ,News & Politics,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/SalkJoBWq_smSEqiAx_qyri6Wa8""",29,UCBR8-60-B28hp2BmDPdntcQ,Nonprofits & Activism,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/xId8RX7vRN8rqkbYZbNIytUQDRo""",22,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/w5HjcTD82G_XA3xBctS30zS-JpQ""",28,UCBR8-60-B28hp2BmDPdntcQ,Science & Technology,TRUE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/N1TrDFLRppxZgBowCJfJCvh0Dpg""",40,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""",18,UCBR8-60-B28hp2BmDPdntcQ,Short Movies,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/RScXhi324h8usyIetreAVb-uKeM""",42,UCBR8-60-B28hp2BmDPdntcQ,Shorts,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/0n9MJVCDLpA8q7aiGVrFsuFsd0A""",43,UCBR8-60-B28hp2BmDPdntcQ,Shows,FALSE
youtube#videoCategory,"""m2yskBQFythfE4irbTIeOgYYfBU/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,UCBR8-60-B28hp2BmDPdntcQ,Sports,TRUE
